"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Sparrow","R",2019,1.75302946404957,-1.35774058092796,10
"House Sparrow","R",2020,1.80445600106057,-1.46649922917633,10
"House Sparrow","R",2021,1.8391592096543,-1.57665156178135,10
"Spotted Dove","R",2018,1.83729162740636,-1.53564004862018,10
"Spotted Dove","R",2019,1.82352683558032,-1.47630447799918,10
"Spotted Dove","R",2020,1.81227077347041,-1.46642438084892,10
"Spotted Dove","R",2021,1.7605170523698,-1.41756781571898,10
"Coppersmith Barbet","R",2018,2.29530584077577,-2.35775061280013,10
"Coppersmith Barbet","R",2019,2.2915929922271,-2.3451513783034,10
"Coppersmith Barbet","R",2020,2.25919559966508,-2.31923961507081,10
"Coppersmith Barbet","R",2021,2.30489504730758,-2.40724023556109,10
"Black-winged Kite","R",2018,2.46766940087715,-2.75767092103588,10
"Black-winged Kite","R",2019,2.51161749862171,-2.8824766959334,10
"Black-winged Kite","R",2020,2.49751684894689,-2.76969424028193,10
"Black-winged Kite","R",2021,2.4737971147828,-2.75573496446964,10
"Small Minivet","R",2018,2.81115539420732,-3.43211345176445,10
"Small Minivet","R",2019,2.81607564220622,-3.45499631222907,10
"Small Minivet","R",2020,2.80686866260256,-3.41509391806908,10
"Small Minivet","R",2021,2.77863904136241,-3.43886280205299,10
"Long-tailed Shrike","R",2018,2.5725100875808,-2.8171335650755,10
"Long-tailed Shrike","R",2019,2.6254032138359,-2.88013539642663,10
"Long-tailed Shrike","R",2020,2.56414387011161,-2.85106843033872,10
"Long-tailed Shrike","R",2021,2.56741252035442,-2.85823000034772,10
"Gray Francolin","R",2018,2.20526644486951,-2.30946183761976,10
"Gray Francolin","R",2019,2.20424704434008,-2.27334528377881,10
"Gray Francolin","R",2020,2.19234148904481,-2.26008001105037,10
"Gray Francolin","R",2021,2.20419629159715,-2.30231179706018,10
"White-throated Kingfisher","R",2018,1.7003740777964,-1.29926563413871,10
"White-throated Kingfisher","R",2019,1.722206562012,-1.31162911103599,10
"White-throated Kingfisher","R",2020,1.69199566118477,-1.27125239028662,10
"White-throated Kingfisher","R",2021,1.66316735452583,-1.19256275589916,10
"Black-rumped Flameback","R",2018,2.55764319525271,-2.95116218242494,10
"Black-rumped Flameback","R",2019,2.49028269776993,-2.87467339281627,10
"Black-rumped Flameback","R",2020,2.4690520871373,-2.82227016985401,10
"Black-rumped Flameback","R",2021,2.49667028227273,-2.79643000298982,10
"Rufous Treepie","R",2018,2.05422905538048,-2.01543446915904,10
"Rufous Treepie","R",2019,2.06372016722129,-2.00140930505355,10
"Rufous Treepie","R",2020,2.04062177549829,-1.98188305690856,10
"Rufous Treepie","R",2021,2.06801083095262,-2.00913319125174,10
"Blue-throated Barbet","U",2018,2.25226054279506,-2.18023250188991,10
"Blue-throated Barbet","U",2019,2.17581058337668,-2.12641956144178,10
"Blue-throated Barbet","U",2020,2.21035197068877,-2.17351610536873,10
"Blue-throated Barbet","U",2021,2.19904654419745,-2.17972723157796,10
"House Crow","U",2018,1.48525131528561,-0.915676435666268,100
"House Crow","U",2019,1.50010270732656,-0.920699368422504,100
"House Crow","U",2020,1.58535421618712,-1.05252679275141,100
"House Crow","U",2021,1.54746161380903,-1.06195558881664,100
"Common Myna","U",2018,1.43380323551116,-0.753978355435619,100
"Common Myna","U",2019,1.37291965294195,-0.695425589758827,100
"Common Myna","U",2020,1.44093891487996,-0.761196900112082,100
"Common Myna","U",2021,1.44298205763612,-0.732064085364649,100
"Jungle Myna","U",2018,2.57870288605033,-2.94976737062146,100
"Jungle Myna","U",2019,2.58632534443475,-2.96226274575706,100
"Jungle Myna","U",2020,2.572946473341,-3.00014670701898,100
"Jungle Myna","U",2021,2.53734484427953,-2.94081454314928,100
"Rock Pigeon","U",2018,1.61468791596944,-1.1708430991034,100
"Rock Pigeon","U",2019,1.60896000718087,-1.0939439935212,100
"Rock Pigeon","U",2020,1.60208583598252,-1.15646869089584,100
"Rock Pigeon","U",2021,1.58265381653758,-1.12490434735107,100
"Black Kite","U",2018,2.05706116018583,-1.99913355882629,100
"Black Kite","U",2019,2.06780914084315,-2.01378187010958,100
"Black Kite","U",2020,2.10545273636983,-2.09631565096324,100
"Black Kite","U",2021,2.10913198150183,-2.10163734796021,100
"Common Tailorbird","U",2018,1.9447719438292,-1.74937499193365,100
"Common Tailorbird","U",2019,1.86430812154415,-1.62161066805641,100
"Common Tailorbird","U",2020,1.86591253960178,-1.57228225110941,100
"Common Tailorbird","U",2021,1.8463962383298,-1.57154349980301,100
"Rose-ringed Parakeet","U",2018,1.69564905246441,-1.34592728128771,100
"Rose-ringed Parakeet","U",2019,1.68883494576166,-1.28098958337873,100
"Rose-ringed Parakeet","U",2020,1.67051958947702,-1.27794724869092,100
"Rose-ringed Parakeet","U",2021,1.6902042530438,-1.29066410261984,100
"Asian Koel","U",2018,1.91975624265747,-1.66892992151953,100
"Asian Koel","U",2019,1.97069729485871,-1.6437800686892,100
