"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"Small Minivet","R",2018,2.89010396818355,-3.46962675146151,1
"Small Minivet","R",2019,2.98216379456307,-3.82586056542478,1
"Small Minivet","R",2020,2.91925847131658,-3.47390021141751,1
"Small Minivet","R",2021,2.76608168295668,-3.47358549650573,1
"Long-tailed Shrike","R",2018,2.78971626321349,-3.30886285676094,1
"Long-tailed Shrike","R",2019,2.79433879853793,-3.43961401138393,1
"Long-tailed Shrike","R",2020,2.73377785900252,-3.19002530041456,1
"Long-tailed Shrike","R",2021,2.66907403447382,-3.28073314649002,1
"Gray Francolin","R",2018,2.27447518577392,-2.29492297412118,1
"Gray Francolin","R",2019,2.25329230581421,-2.34329910506013,1
"Gray Francolin","R",2020,2.24606183348525,-2.2716234163408,1
"Gray Francolin","R",2021,2.19114405285242,-2.32145985497423,1
"White-throated Kingfisher","R",2018,1.72812154482494,-1.40568502199281,1
"White-throated Kingfisher","R",2019,1.79499480384423,-1.47562092434134,1
"White-throated Kingfisher","R",2020,1.76859320593408,-1.31568893795344,1
"White-throated Kingfisher","R",2021,1.74266595499398,-1.28533219533546,1
"Black-rumped Flameback","R",2018,2.38615864247019,-2.71112162745737,1
"Black-rumped Flameback","R",2019,2.32654390141011,-2.52056495921754,1
"Black-rumped Flameback","R",2020,2.48865783425025,-2.5763102621194,1
"Black-rumped Flameback","R",2021,2.40752200566514,-2.57545500227134,1
"Rufous Treepie","R",2018,2.07001079367409,-1.92850960239702,1
"Rufous Treepie","R",2019,1.93166101393965,-1.77187854898618,1
"Rufous Treepie","R",2020,2.01805901346717,-1.87468103500965,1
"Rufous Treepie","R",2021,2.1473121292523,-2.04134161999123,1
"Blue-throated Barbet","U",2018,1.83483786189548,-1.5941823340055,1
"Blue-throated Barbet","U",2019,1.86137889388972,-1.49691976807345,1
"Blue-throated Barbet","U",2020,1.84915801279119,-1.6153593395455,1
"Blue-throated Barbet","U",2021,1.8846990171394,-1.646081277526,1
"House Crow","U",2018,1.54568135224227,-0.95261180550993,10
"House Crow","U",2019,1.44120013779836,-0.798364599546431,10
"House Crow","U",2020,1.62162882801368,-1.02674888228038,10
"House Crow","U",2021,1.54250224043991,-1.04250941789171,10
"Common Myna","U",2018,1.3373443770631,-0.600922866067011,10
"Common Myna","U",2019,1.1766143659253,-0.433573269838544,10
"Common Myna","U",2020,1.3748099260492,-0.524061429424316,10
"Common Myna","U",2021,1.32877464724243,-0.587264492542051,10
"Jungle Myna","U",2018,2.37434545412965,-2.50536132973525,10
"Jungle Myna","U",2019,2.30213003081883,-2.5259024223944,10
"Jungle Myna","U",2020,2.42185483686999,-2.60371897241513,10
"Jungle Myna","U",2021,2.39478632357258,-2.56237709596053,10
"Rock Pigeon","U",2018,1.5670261620232,-1.02296935558132,10
"Rock Pigeon","U",2019,1.39424390721534,-0.772120750002728,10
"Rock Pigeon","U",2020,1.52798442147146,-1.03920618672123,10
"Rock Pigeon","U",2021,1.57283763924365,-1.00844016847964,10
"Black Kite","U",2018,1.95429012510171,-1.86827898628786,10
"Black Kite","U",2019,2.01297844704826,-1.8299822113027,10
"Black Kite","U",2020,2.02322476622858,-1.98886238596651,10
"Black Kite","U",2021,2.12217367827314,-1.9314846491696,10
"Common Tailorbird","U",2018,2.06569772908355,-1.67828564884215,10
"Common Tailorbird","U",2019,1.69255029373312,-1.36615431539181,10
"Common Tailorbird","U",2020,1.86873883932714,-1.49799641503287,10
"Common Tailorbird","U",2021,1.86384499908712,-1.53688750680625,10
"Rose-ringed Parakeet","U",2018,1.73984900529558,-1.32719360192461,10
"Rose-ringed Parakeet","U",2019,1.6755809111436,-1.11546534250635,10
"Rose-ringed Parakeet","U",2020,1.64222774796705,-1.26549392164841,10
"Rose-ringed Parakeet","U",2021,1.69745112406306,-1.36291206660709,10
"Asian Koel","U",2018,1.51902539138937,-1.05649238848347,10
"Asian Koel","U",2019,1.45152702069826,-0.770866195342402,10
"Asian Koel","U",2020,1.55617783069306,-0.915797714213649,10
"Asian Koel","U",2021,1.68278556300025,-1.01405929421104,10
"Purple Sunbird","U",2018,1.85481184748919,-1.34275191156739,10
"Purple Sunbird","U",2019,1.73913189885374,-1.06766140874638,10
"Purple Sunbird","U",2020,1.59415845338604,-1.16598211457463,10
"Purple Sunbird","U",2021,1.83240987266749,-1.37660949043733,10
"Pale-billed Flowerpecker","U",2018,2.58049431550637,-2.93533717505832,10
"Pale-billed Flowerpecker","U",2019,2.5388331390519,-2.85917373197108,10
"Pale-billed Flowerpecker","U",2020,2.64963975688638,-3.01879086141049,10
"Pale-billed Flowerpecker","U",2021,2.60493941682956,-3.00292140702446,10
"White-cheeked Barbet","U",2018,1.94875515503305,-1.78208851256293,10
"White-cheeked Barbet","U",2019,1.91402092031614,-1.67278615870756,10
"White-cheeked Barbet","U",2020,1.85619992771928,-1.68226551903144,10
"White-cheeked Barbet","U",2021,1.89056806702052,-1.71092971679688,10
"Green Bee-eater","R",2018,1.75891445543235,-1.52676260507406,10
"Green Bee-eater","R",2019,2.00090557361369,-1.62951205232967,10
"Green Bee-eater","R",2020,1.7467097221352,-1.56999705258001,10
"Green Bee-eater","R",2021,1.84791630332334,-1.6112093831657,10
"Black Drongo","R",2018,1.61182821993908,-1.20003793471743,10
"Black Drongo","R",2019,1.64815632853976,-1.18922698649853,10
"Black Drongo","R",2020,1.62948296960421,-1.15032407530891,10
"Black Drongo","R",2021,1.64047998104054,-1.17707319091408,10
"Pied Bushchat","R",2018,2.33828532953446,-2.68896894505929,10
"Pied Bushchat","R",2019,2.39438044363076,-2.61152623331625,10
"Pied Bushchat","R",2020,2.39099720590769,-2.70731397695299,10
