"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Crow","U",2019,1.61195169210962,-1.09462896977057,100
"House Crow","U",2020,1.67345815921725,-1.29090254548961,100
"House Crow","U",2021,1.68221015585552,-1.26962620958912,100
"Common Myna","U",2018,1.42866699514809,-0.702287194239878,100
"Common Myna","U",2019,1.40834154943694,-0.702744714624702,100
"Common Myna","U",2020,1.39851114663031,-0.733115137448659,100
"Common Myna","U",2021,1.42566807234279,-0.722463870138265,100
"Jungle Myna","U",2018,1.92235297007524,-1.65717229579692,100
"Jungle Myna","U",2019,1.88907735470658,-1.72767140780558,100
"Jungle Myna","U",2020,1.93821461184567,-1.7795008804023,100
"Jungle Myna","U",2021,1.92135182477454,-1.71829227667552,100
"Rock Pigeon","U",2018,1.63329109833738,-1.20474729825302,100
"Rock Pigeon","U",2019,1.65249333325017,-1.16773352223192,100
"Rock Pigeon","U",2020,1.65396545671916,-1.20901188878724,100
"Rock Pigeon","U",2021,1.64410439513326,-1.19819748553171,100
"Black Kite","U",2018,1.93128574274064,-1.75135786155944,100
"Black Kite","U",2019,1.99600115946605,-1.82776422807769,100
"Black Kite","U",2020,2.00815429030462,-1.84855323395657,100
"Black Kite","U",2021,1.99936201957783,-1.88151312343651,100
"Common Tailorbird","U",2018,1.7369518587318,-1.26231399062442,100
"Common Tailorbird","U",2019,1.66891540918195,-1.21177928162032,100
"Common Tailorbird","U",2020,1.68423208235868,-1.22389631160734,100
"Common Tailorbird","U",2021,1.65758803487891,-1.17575281710799,100
"Rose-ringed Parakeet","U",2018,1.66659839334888,-1.22047150397567,100
"Rose-ringed Parakeet","U",2019,1.66864280552944,-1.23887578793481,100
"Rose-ringed Parakeet","U",2020,1.66087326101832,-1.20269651221389,100
"Rose-ringed Parakeet","U",2021,1.66740965589936,-1.20254940351076,100
"Asian Koel","U",2018,1.75972698700916,-1.29816114908792,100
"Asian Koel","U",2019,1.82881488817737,-1.3133288779017,100
"Asian Koel","U",2020,1.77837212028531,-1.29168986483471,100
"Asian Koel","U",2021,1.78459008659211,-1.33047949029892,100
"Purple Sunbird","U",2018,1.90968758040264,-1.57211062556331,100
"Purple Sunbird","U",2019,1.909020267423,-1.56862238831185,100
"Purple Sunbird","U",2020,1.89874777745733,-1.57350653082001,100
"Purple Sunbird","U",2021,1.91940457494593,-1.52992461862635,100
"Pale-billed Flowerpecker","U",2018,2.27895071112292,-2.3817240371076,100
"Pale-billed Flowerpecker","U",2019,2.25292552106828,-2.31595444227716,100
"Pale-billed Flowerpecker","U",2020,2.29719719677818,-2.45312334268944,100
"Pale-billed Flowerpecker","U",2021,2.2735383056356,-2.40500655130365,100
"White-cheeked Barbet","U",2018,1.73273043471526,-1.28990396457881,100
"White-cheeked Barbet","U",2019,1.72505861123127,-1.29861454440147,100
"White-cheeked Barbet","U",2020,1.70250072185832,-1.28090079650267,100
"White-cheeked Barbet","U",2021,1.71743038659361,-1.29401127029618,100
"Green Bee-eater","R",2018,1.56195853804146,-0.883389603813005,100
"Green Bee-eater","R",2019,1.52001185530161,-0.753086791088687,100
"Green Bee-eater","R",2020,1.45452597221121,-0.633082743486064,100
"Green Bee-eater","R",2021,1.48998445666731,-0.696290516940912,100
"Black Drongo","R",2018,1.77575779028504,-1.19174672902444,100
"Black Drongo","R",2019,1.81795391724587,-1.30544342298408,100
"Black Drongo","R",2020,1.74492778767888,-1.16713200649005,100
"Black Drongo","R",2021,1.706301389271,-1.08441547590314,100
"Pied Bushchat","R",2018,1.96689851054326,-1.74382778464014,100
"Pied Bushchat","R",2019,1.92634890818352,-1.63115525665812,100
"Pied Bushchat","R",2020,1.86450640988295,-1.61458321800498,100
"Pied Bushchat","R",2021,1.89832504201188,-1.6550788910663,100
"Plain Prinia","R",2018,2.5807465957523,-2.75804450027616,100
"Plain Prinia","R",2019,2.45745051791458,-2.58753675656129,100
"Plain Prinia","R",2020,2.49347058209745,-2.64790739636591,100
"Plain Prinia","R",2021,2.54784398080322,-2.76946110267969,100
"Indian Robin","R",2018,2.02244978875949,-1.92499642433199,100
"Indian Robin","R",2019,1.97746954244096,-1.84105632581684,100
"Indian Robin","R",2020,1.94632483584024,-1.72810047797381,100
"Indian Robin","R",2021,1.96463978858661,-1.73025615079545,100
"House Sparrow","R",2018,1.9917545591089,-1.82690659608971,100
"House Sparrow","R",2019,1.98748131981896,-1.81027241706673,100
"House Sparrow","R",2020,1.98015414460263,-1.77834304978768,100
"House Sparrow","R",2021,2.05680832792698,-2.0058457695853,100
"Spotted Dove","R",2018,1.6400365878512,-1.04137837694722,100
"Spotted Dove","R",2019,1.56471163356675,-0.93542496688301,100
"Spotted Dove","R",2020,1.52014817948573,-0.827995948281664,100
"Spotted Dove","R",2021,1.54251829630762,-0.856657020334443,100
"Coppersmith Barbet","R",2018,2.19179281690563,-2.14122396993342,100
"Coppersmith Barbet","R",2019,2.20845109246247,-2.20667300786606,100
"Coppersmith Barbet","R",2020,2.22587500301784,-2.19955932456371,100
"Coppersmith Barbet","R",2021,2.28932261268638,-2.33530650597476,100
"Black-winged Kite","R",2018,2.62295750329669,-2.93577856034971,100
"Black-winged Kite","R",2019,2.68102074231715,-3.0694651844295,100
"Black-winged Kite","R",2020,2.52032924796274,-2.74021230672031,100
"Black-winged Kite","R",2021,2.42633458181222,-2.67021613023368,100
"Small Minivet","R",2018,2.63544456046933,-3.02803101070107,100
"Small Minivet","R",2019,2.58533812620594,-2.9363330360915,100
"Small Minivet","R",2020,2.61319634626308,-2.93766901805387,100
"Small Minivet","R",2021,2.60702663045137,-2.92267591629536,100
"Long-tailed Shrike","R",2018,2.49709560901695,-2.70573619616668,100
"Long-tailed Shrike","R",2019,2.67564101536589,-2.88528622201555,100
"Long-tailed Shrike","R",2020,2.44476062438326,-2.65517117232841,100
"Long-tailed Shrike","R",2021,2.47363384748696,-2.68601100445079,100
"Gray Francolin","R",2018,2.20606478529198,-2.19179342618585,100
"Gray Francolin","R",2019,2.19358547504952,-2.14713385923605,100
"Gray Francolin","R",2020,2.15516768398117,-2.09947235565853,100
"Gray Francolin","R",2021,2.16865762171077,-2.08099981153002,100
"House Crow","U",2018,1.60524853972294,-1.04076674314456,101
"House Crow","U",2019,1.61236381101944,-1.12633682606954,101
"House Crow","U",2020,1.67706307649503,-1.27127556859929,101
"House Crow","U",2021,1.68239419076688,-1.28087673975006,101
"Common Myna","U",2018,1.45402177840798,-0.713143044414678,101
"Common Myna","U",2019,1.38795418117574,-0.685572452495842,101
"Common Myna","U",2020,1.44313901048022,-0.741373936873832,101
"Common Myna","U",2021,1.37998815881451,-0.72159494825343,101
"Jungle Myna","U",2018,1.92250705862321,-1.65753830201268,101
"Jungle Myna","U",2019,1.93186278764486,-1.7118202301892,101
"Jungle Myna","U",2020,1.93563132652016,-1.74901507665616,101
"Jungle Myna","U",2021,1.90924573455489,-1.69178327315853,101
"Rock Pigeon","U",2018,1.63567946503003,-1.21934510713777,101
"Rock Pigeon","U",2019,1.6585565754878,-1.14712508476881,101
"Rock Pigeon","U",2020,1.63646375900792,-1.21253921177553,101
"Rock Pigeon","U",2021,1.63839990297263,-1.23052910341155,101
"Black Kite","U",2018,1.9699046224143,-1.77232737836273,101
"Black Kite","U",2019,1.98314062706195,-1.83353655959671,101
"Black Kite","U",2020,2.01340697025717,-1.88868414947055,101
"Black Kite","U",2021,2.00911137780385,-1.90789984039528,101
"Common Tailorbird","U",2018,1.75077580346665,-1.24770226153568,101
"Common Tailorbird","U",2019,1.66608071460756,-1.20148339185631,101
